S/K,Maturity,Volatility,Rate,Labels,Prices,Strikes,Weight_0,Weight_1,Weight_2
0.5086444052643238,0.9772481117370773,0.9174899697575363,0.069562076336468,17.71157804992976,101.5650745316861,199.67795473717337,0.7404006706360224,0.028930558029585524,0.23066877133439215
0.5019821596337994,1.081892957649618,0.800484224122614,0.04810904713427756,13.919382713944561,100.0569516148264,199.32372036452225,0.24216015470372476,0.676635978345675,0.08120386695060026
0.4943125895414818,0.9849721066909549,0.07490343933088167,0.05008892806875651,6.82127286381932e-19,99.37169902589262,201.03007920164157,0.016538731711786745,0.39760095576409094,0.5858603125241224
0.5083476951638649,0.4657480922092829,0.8886370202211634,0.0651752734244304,6.048900613408925,101.3123003469137,199.29725522657455,0.274329350729448,0.3637292848449051,0.361941364425647
0.49444646554940663,0.5186552633013111,0.17628365447388078,0.04549683614638325,1.2720425436679216e-07,98.91645518133171,200.05493430197788,0.0034038352121164264,0.5177818553812821,0.4788143094066015
0.49651466128853444,0.23126879927840868,0.6779429215194335,0.0390528847645583,0.27524648847368427,98.63681176044261,198.65840719479343,0.601635977881969,0.13721862344588406,0.2611453986721469
0.5083694676647248,0.40995282974270714,0.236591660597343,0.03668538160301263,2.836656998043616e-05,102.09652601343312,200.83134906277826,0.08498899011019366,0.7111164444641757,0.2038945654256307
0.4943785173200621,0.9031037631796786,0.3328502418967738,0.04574139021067199,0.2817157899370697,98.85662463039864,199.9614084493048,0.3267039351409724,0.12533482265061385,0.5479612422084137
0.49935437314897496,0.7057148421665667,0.762670867977664,0.03963312715779067,6.6157856134055955,99.15318565889834,198.56276622477372,0.02823607755154632,0.6258506611195427,0.3459132613289109
0.4984608335808276,0.34461219405996035,0.6640002165429344,0.02424849630100831,0.843096639709529,99.76780166509467,200.15173699483228,0.5578988015347222,0.07728705769808694,0.3648141407671909
0.5026394877736139,0.7201627877743266,0.4229634395178993,0.08190960053638977,0.78267085538495,100.17150160813341,199.2909511583183,0.13004293600181757,0.5922290328498578,0.27772803114832456
0.5045266036353007,0.6694231104908281,0.515084817625408,0.06479330367205491,1.6074752741575695,100.60097106775352,199.39676192075174,0.21726030834173288,0.4516837574316838,0.3310559342265833
0.49806246497059614,0.4138862975870289,0.6785641812540759,0.06458398281505663,1.6028638186558926,98.89811671302702,198.5656893836913,0.08993999279036466,0.5433714941554008,0.36668851305423467
0.5003724906345942,0.8775606572577241,0.4383203556819604,0.09303191338759012,1.647755978319898,99.55558932275038,198.96295497078515,0.4699433143167009,0.1080672890692505,0.42198939661404866
0.5041412751874692,0.830283301382946,0.9804583567801695,0.06535337776284968,16.621644882917987,101.50248562255298,201.33738421796238,0.2672586717723127,0.45933944546845135,0.2734018827592359
