K,T,price,iv,source
570.0,0.08333333333333333,0.0,0.43164630859375,synthetic
570.0,0.16666666666666666,0.0,0.3869079864501953,synthetic
570.0,0.25,116.93,0.3530338134765625,original
570.0,0.3333333333333333,0.0,0.3252936123657226,synthetic
570.0,0.4166666666666667,0.0,0.3137428245544433,synthetic
570.0,0.5,4.440892098500626e-15,0.3136360140991211,synthetic
570.0,0.5833333333333334,1.389999226830696e-12,0.3136360140991211,synthetic
570.0,0.6666666666666666,4.5947134985624416e-11,0.3136360140991211,synthetic
570.0,0.75,3.278971538733799e-10,0.3082726033782959,synthetic
570.0,0.8333333333333334,3.1912777975762197e-09,0.3082726033782959,synthetic
570.0,0.9166666666666666,2.079106831143207e-08,0.3082726033782959,synthetic
570.0,1.0,6.136465446893169e-08,0.3040078144836425,synthetic
580.0,0.08333333333333333,0.0,0.3944457528686523,synthetic
580.0,0.16666666666666666,0.0,0.3588931298828125,synthetic
580.0,0.25,103.08,0.3187323986816405,original
580.0,0.3333333333333333,0.0,0.3114692877197265,synthetic
580.0,0.4166666666666667,0.0,0.3015816912841796,synthetic
580.0,0.5,-4.440892098500626e-15,0.3032753999328613,synthetic
580.0,0.5833333333333334,1.1435297153639112e-13,0.3032753999328613,synthetic
580.0,0.6666666666666666,5.034861416675085e-12,0.3032753999328613,synthetic
580.0,0.75,5.3675952571552443e-11,0.2994912580871582,synthetic
580.0,0.8333333333333334,6.206857250390385e-10,0.2994912580871582,synthetic
580.0,0.9166666666666666,4.655767993355653e-09,0.2994912580871582,synthetic
580.0,1.0,1.6917806044958184e-08,0.296332720336914,synthetic
590.0,0.08333333333333333,0.0,0.372778489074707,synthetic
590.0,0.16666666666666666,0.0,0.3101265277099609,synthetic
590.0,0.25,99.11,0.3027718649291991,original
590.0,0.3333333333333333,0.0,0.2993844476318359,synthetic
590.0,0.4166666666666667,0.0,0.2908853871154784,synthetic
590.0,0.5,0.0,0.2934183207702636,synthetic
590.0,0.5833333333333334,-6.106226635438361e-15,0.2934183207702636,synthetic
590.0,0.6666666666666666,4.840572387365683e-13,0.2934183207702636,synthetic
590.0,0.75,8.56481552347077e-12,0.2915033618927001,synthetic
590.0,0.8333333333333334,1.177941078012168e-10,0.2915033618927001,synthetic
590.0,0.9166666666666666,1.0200978950436479e-09,0.2915033618927001,synthetic
590.0,1.0,4.350815263620689e-09,0.2889170230102538,synthetic
600.0,0.08333333333333333,0.0,0.3389348333740234,synthetic
600.0,0.16666666666666666,0.0,0.3054573849487304,synthetic
600.0,0.25,75.07,0.2877268493652343,original
600.0,0.3333333333333333,0.0,0.286017882080078,synthetic
600.0,0.4166666666666667,0.0,0.2804942556762695,synthetic
600.0,0.5,0.0,0.2838053797912597,synthetic
600.0,0.5833333333333334,1.6653345369377348e-14,0.2838053797912597,synthetic
600.0,0.6666666666666666,3.885780586188048e-14,0.2838053797912597,synthetic
600.0,0.75,1.0602629885170245e-12,0.2829966720581054,synthetic
600.0,0.8333333333333334,1.759703494030873e-11,0.2829966720581054,synthetic
600.0,0.9166666666666666,1.7972290322632034e-10,0.2829966720581054,synthetic
600.0,1.0,1.037336883058515e-09,0.2817302052307128,synthetic
610.0,0.08333333333333333,0.0,0.2966989276123046,synthetic
610.0,0.16666666666666666,0.0,0.2771068383789062,synthetic
610.0,0.25,67.85,0.27324640335083,original
610.0,0.3333333333333333,0.0,0.273872007446289,synthetic
610.0,0.4166666666666667,0.0,0.2690121317291259,synthetic
610.0,0.5,0.0,0.2735820933532715,synthetic
610.0,0.5833333333333334,0.0,0.2735820933532715,synthetic
610.0,0.6666666666666666,4.440892098500626e-15,0.2735820933532715,synthetic
610.0,0.75,1.0380585280245214e-13,0.2746196806335449,synthetic
610.0,0.8333333333333334,2.250977182427505e-12,0.2746196806335449,synthetic
610.0,0.9166666666666666,2.7413626924044365e-11,0.2746196806335449,synthetic
610.0,1.0,2.3379020941405315e-10,0.2749019654083252,synthetic
620.0,0.08333333333333333,0.0,0.2765575274658203,synthetic
620.0,0.16666666666666666,0.0,0.2616345809936523,synthetic
620.0,0.25,74.14,0.2578504391479492,original
620.0,0.3333333333333333,0.0,0.2614667359924316,synthetic
620.0,0.4166666666666667,0.0,0.2583539741516114,synthetic
620.0,0.5,0.0,0.2639386351013184,synthetic
